"V1","V2","V3","V4","V5","V6","V7","V8"
2.45234872785191,2.81545207231249,2.86469887710132,2.82572045846352,2.837906278464,2.81826383092187,2.87301386184473,2.84311656771248
2.71631128615722,2.356870317438,2.83621752359098,2.82481244995925,2.83760249391556,2.82760844814335,2.89501800351939,2.83859189378502
2.81768502616474,2.83791938535048,2.86086285702588,2.8282926535089,2.8384950263185,2.82289346031845,2.83865375799354,2.83109983312707
2.81604871980499,2.8473716816651,2.83026560972286,2.83556495323996,2.85471275332193,2.84052616260115,2.85153346935698,2.81668363342328
2.8094954321262,2.82779475635145,2.85318997931834,2.82978878104798,2.81865835038422,2.84997106483052,2.87772963783305,2.83565183517199
2.658218909919,2.76190127243021,2.62146885329107,2.77341445598228,2.85129599037101,2.85536095562807,2.8383588042626,2.85880117674912
2.81995103016271,2.84447047408539,2.8546645109281,2.82949772159131,2.86312606613384,2.81105505878506,2.88313439810895,2.84318892225168
6.34555116215629,2.86176213996166,2.83323725657286,2.85934700181791,2.81915395025518,2.87438852109358,2.802405393595,2.83625010192201
3.39072723774661,4.12334943023741,3.87535538272271,2.83553963773277,2.67092962135986,3.28737183890496,2.84196809658932,2.83670992924612
2.848243272604,2.81356078665869,2.86517483789111,2.81476604133072,2.8574138642006,2.84699839737532,2.82271415107132,2.84280043703906
2.82003708422295,2.90775881222838,2.80703372211617,2.84126423559451,2.82317906444744,2.87306691057432,2.84514341778825,2.8733338293032
2.73732130201217,2.7082796553193,2.70264199924127,2.85931797996231,2.87144935729176,2.88945259836171,2.86634364772547,2.84054987375578
2.45966896663656,2.7936137350118,2.67262425538484,2.79486419559387,2.85747472311255,2.78883169796523,2.81715170336079,2.83021026431957
2.8315290030483,2.86831613749648,2.83139113258345,2.8265262950858,2.84471726033568,2.82433763736925,2.82711044312248,2.84052886994575
2.83687720078029,2.84190765339783,2.58042227356836,2.86893122897182,2.83621829983143,2.81607093212778,2.82362883498223,2.84341120368436
2.75618318057437,2.28884076121408,2.81486014965636,2.81769856555875,2.86468376211168,2.85462314478597,2.83642380668791,2.87619758780094
2.81925074865818,2.85253324856325,2.84165660134803,2.81672886333222,2.86018661927836,2.84148561733254,2.82815640389568,2.837486676547
2.84007904676765,2.82333386756642,2.80778470055545,2.84424217379378,2.82419653269721,2.82142893613621,2.80143276585959,2.84530598542123
2.80829579079484,2.8361747624927,2.86787343550874,2.83726394702754,2.86388748505983,2.85007326916287,2.81565376410841,2.83230159939944
2.84349396013782,2.6402691683278,2.85757036210351,2.84285854543939,2.8591147548799,2.85643096716233,2.80815240746932,2.87483739079631
2.83117378974806,2.83898590439194,2.81868701111028,2.85229101800077,2.82877656947005,2.82599479657256,2.85340533994212,2.81502020204035
2.83201992328238,2.79503587104276,2.86130513518621,2.83208408903962,2.82021118226473,2.83561550788177,2.83331187440693,2.82288632986723
2.78931439102003,2.86164104069022,2.82786183935336,2.81358796916135,2.82684744995235,2.83504225465384,2.82642220816678,2.84800526791262
2.80840195681833,2.85678257209478,2.81312883831127,2.82856744673448,2.84564553003968,2.85335768814384,2.85013431765937,2.85285394963692
2.34693816551844,2.92131526578486,2.86294842613407,2.83828026342189,2.85277217870779,2.88608622259102,2.88009726441639,2.80756700214979
2.84275708201886,2.82849749222763,2.88663433429841,2.8531245641043,2.81819249839579,2.85461524068256,2.81738808410099,2.84544399367924
2.83773418994609,2.83303337174174,2.83106855980776,2.87074172465975,2.85978952271102,2.81839072441789,2.84729133828483,2.88177668602254
2.8521850177375,2.82388627093859,2.81161424733075,2.84901018078228,2.81047452896746,2.81699130580161,2.86982171837083,2.88120127166192
2.81382020027931,2.8585678378993,2.84729675786833,2.85086501384875,2.84193339483486,2.81973810850304,2.85590154877584,2.81342577610626
3.59449458763158,2.82298050394944,2.84521618360216,2.84040149429495,2.84394600566808,2.85094536169289,2.85455455132634,2.8406858183666
2.83646255466846,2.8480537610351,2.84204928985622,2.82663059847652,2.79413512577519,2.82450416374096,2.82884891029785,2.88552242643698
2.83981763034819,2.85307441764823,2.87206157982474,2.85577266237948,2.82760780446357,2.82155721529537,2.85301434376795,2.90160452260319
2.8264959858126,2.82411790531582,2.40719157117793,2.82703689204099,2.81648757727314,2.81481637538916,2.85299311689626,2.81156622554889
2.83786603126038,2.84306362038743,2.80627777155447,3.03468045565976,2.8348864193971,2.74171585593856,2.85497684371661,2.83085758060912
3.70126553015824,2.46652798383486,3.84619126232519,2.78708923223055,3.16518469568826,2.78958849688428,2.84219076826728,2.81782877579648
0,4.25391487488609,2.84562305484816,2.85586539561404,2.84946446212004,2.84639791441325,2.84449907637934,2.83933134127217
0,3.07233688501529,2.97661949321195,2.86806085873955,2.84727877944556,2.86260823272255,2.79909351940962,2.87238691911331
0,2.82266091024256,2.86392572180903,2.82942036302641,2.82935019127741,2.85523513924786,2.84992260060842,2.84879046669985
